County,Unique_Callsigns,Count
CA,67,"AA2ZW,AB3CX,AD3CX,K2A,K2AL,K2EAG,K2IZ,K2NV,K2Q,K2Q/M,K2QB,K2SSS,K2TV,K2V,K2XA,K2ZR,K3GHH/2,K4LUM,K4RUM,KC2KY,KD2KW,KE2AIZ,KE2SD,KM2L,KN2M,KO8SCA,KR2AA,KX2NY,N2CU,N2CU/M,N2GA,N2MA,N2MF,N2MU,N2PA,N2PP,N2RC,N2T,N2T/HER,N2Y,N2ZX,N2ZX/SAR,NJ1R,NM2A,NN2L,NQ2W,W2FU,W2GR,W2LC,W2M,W2OW,W2PJ,W2QL,W2SB,W2SO,W2TB,W2TZ,WA2AMN,WA2CP,WA2NYY,WA2QAU,WB2AMN,WB2KAO,WB2KWC,WT2X,WW2P,WW2Y"
CAT,631,"AA0AW,AA0FO,AA0O,AA2IL,AA3R,AA4MX,AA4TX,AA7IL,AA8SK,AB0BM,AB1EF,AB2FN,AB2IW,AB2SR,AB3CX,AB8MV,AC0W,AC2FA,AC2N,AC2RL,AC2VE,AC2XC,AD2CD,AD2TM,AD9DJ,AF4C/M,AF8A,AH2O,AI5G,AJ4LN,AJ5ZX,AK3B,EA2BD,HA9RE,IK4IDF,K0BX,K0BZ,K0DJW,K0ECW,K0FX,K0GR,K0HB,K0HBK,K0HX,K0KDS,K0MPH,K0PC,K0RC,K0SID,K0SV,K0TRL,K1AJ,K1BZ,K1GJY,K1RDD,K1RMS,K1RO,K2A,K2AJK,K2AL,K2CJS,K2CR,K2D,K2DBK,K2DJF,K2EP,K2FEO,K2IRK,K2KDX,K2MN,K2MV,K2NV,K2OEQ,K2OS,K2PTC,K2Q/M,K2QB,K2QY,K2SSS,K2WPM,K2XA,K2XR,K2YG,K2ZR,K3GHH/2,K3GWK,K3PA,K3QP,K3RJS,K3RRA,K3TN,K3TW,K3UA,K3WJV,K4BAI,K4BCS,K4BOS,K4DR,K4EAK,K4FT,K4FTO,K4GSX,K4HSI,K4INA,K4JDF,K4KGT,K4LI,K4NYS,K4QQG,K4SBZ,K5CA,K5CM,K5CO,K5DGR,K5GE,K5KTM,K5QHY,K5QQ,K5VR,K5WVF,K6ACW,K7SS,K8ARE,K8BRC,K8BSR,K8DF,K8GQ,K8MR,K8NIV,K8QKY,K8RGI,K8SF,K8TDF,K8ZT,K9CW,K9GPW,K9JK,K9LRD,K9NW,K9PW,K9WDW,K9YP,KA0PQW,KA0REN,KA0WKG,KA1TBJ,KA2EFQ,KA2ENE,KA2FIR,KA2MPC,KA2YEG,KA3D,KA3MAJ,KA3MTT,KA8HAD,KA8JBK,KA9ISA,KB0NES,KB1FNJ,KB1MLQ,KB1RVU,KB2FAK,KB2TDT,KB2URI,KB3CVO,KB3IYN,KB3ZCO,KB3ZQJ,KB4CG,KB4DE,KB5EDR,KB7MII,KB8TPT,KB9S,KC0UJC,KC1FNM,KC1GEJ,KC1HHO,KC1NXD,KC1SOW,KC1TOL,KC1TSG,KC1YJA,KC2BBI,KC2DPF,KC2HTV,KC2KDD,KC2KY,KC2LEB,KC2MBV,KC2PQI,KC2WLR,KC2YME,KC3ANS,KC3BPM,KC3CPT,KC3KJQ,KC3M,KC3OQ,KC3UHG,KC3ZVG,KC4ZUA,KC8WQR,KC9GEM,KC9JML,KD2CTZ,KD2DLL,KD2EAT,KD2EFR,KD2FKV,KD2KEH,KD2KW,KD2QNA,KD2SER,KD2TIV,KD3ALL,KD4S,KD5ZCQ,KD8TYQ,KD8VTT,KD9TQH,KE0TT,KE1IH,KE2ATY,KE2CIO,KE2CNS,KE2CWJ,KE2DJR,KE2ELI,KE2ELL,KE2FDA,KE2FGN,KE2SD,KE2X,KE4EA,KE5SWX,KE7LBB,KE8PZN,KE8UTX,KE9BKL,KF0QMI,KF2VX,KF3DJ,KF8ECI,KF8ENU,KG5HXR,KG5LJZ,KG9X,KI4BGY,KI4IO,KI4JAV,KI5RGH,KJ5GCH,KJ5LNI,KK4BSA,KK4TE,KK5MR,KL7NL,KM2O,KM3STU,KM4IAJ,KM4UNY,KM8L,KM9R,KN2M,KN4AY,KN4NGK,KN6VTC,KN7D,KO4DWB,KO4FUD,KO4SPI,KO4TXN,KO4ZIK,KO8SCA,KQ2R,KQ3F,KQ4BST,KQ4GLQ,KQ4SRE,KQ4TAX,KQ4TPD,KQ4VVQ,KQ4WIQ,KR2AA,KR2H,KR3DX,KR4AE,KR4CTF,KR4FTD,KR4FTE,KS2G,KT4BZ,KV0I,KV0Z,KV2X/M,KW6MAC,KW9A,KX2NY,KX4TKO,KX4YQ,KY0Q,KY4MD,KY7M,MM9SAT,N0BF,N0HJZ,N0LFK,N0LY,N0OZZ,N0TTZ,N1ADX,N1API,N1ET,N1GBE,N1IBM,N1NQD,N1NYT,N1XV,N2B,N2BOC,N2BTD,N2CBH/3,N2CU/M,N2EIM,N2GA,N2GZ,N2IZX,N2JJ,N2JOF,N2MEE,N2MF,N2NC,N2NKX,N2NRV,N2PA,N2PEQ,N2PP,N2PQJ,N2PTF,N2PYH,N2RC,N2SQW,N2T,N2TKL,N2TST,N2XE,N2XNB,N2Y,N2YBB,N2ZX,N3AM,N3FMC,N3FTO,N3GAF,N3GJ,N3GTH,N3IW,N3KI,N3KTA,N3NIK,N3PPE/M,N3QXC,N3RF,N3RMR/M,N3UDI,N3WT,N3XF,N4CD,N4CW,N4EMP,N4GK,N4KJU,N4LDB,N4QI,N4USB,N5KW,N5MLP,N5RZ,N5TJ,N6BTE,N6DE,N6EF,N6MRS,N6MU,N7EPD,N7IR,N7SDQ,N8HAM,N8II,N8JRD,N8JY,N8MD,N8OYY/M,N8RGA,N9EAT,N9GXA,N9KRZ,N9MS,N9NM,N9RV,N9WEH,NA4M,NC4LB,NE8P,NI6L,NI8M,NI8W,NM2A,NN2L,NN7A,NQ2U,NQ2W,NS4TT,NT4U,NW0M,NX1K,NX9B,NY2A,NZ5E,NZ5W,OM2VL,VA3FN,VA3GKX,VA3HYM,VA3JIC,VA3NBN,VA3NFG,VA3PNL,VA3VS,VB3JOTA,VE1RGO,VE2IAA,VE2KEZ,VE2KLW,VE2OPB,VE3AJF,VE3AQ,VE3BEW,VE3DQN,VE3GSS,VE3HZ,VE3IFT,VE3MV,VE3OMV,VE3SSR,VE3SSR/M,VE3TCS,VE3TM,VE3UNF,VE3WG,VE3XFD,VE3YT,VE5UO,VE7KIN,VE7ZO,VE9EZ,W0BM,W0CN,W0DCN,W0DET,W0ELT,W0FTL,W0KEG,W0MET,W0TXI,W0UC,W0UY,W0YNE,W0ZF,W0ZQ,W1AO,W1ARY,W1BRU,W1FM,W1JIM,W1SSN,W1TO,W1W,W1WV,W1WV/M,W1YTQ,W2AAA,W2AN,W2BMT,W2CCC,W2CXM,W2DQ,W2DXE,W2E,W2EHH,W2FMB,W2FU,W2GDJ,W2HMT,W2IG,W2IOC,W2JCT,W2KFG,W2LC,W2LGB,W2M,W2NC,W2NO,W2NTV,W2NYW,W2OW,W2PJ,W2QCY,W2R,W2REA,W2RQ,W2SB,W2SUR,W2TB,W2TZ,W2VM,W2Y,W3AVP,W3FN,W3HZU,W3JAW,W3NLE,W3TKB,W3TWB,W3UF,W3US,W4CB,W4CMG,W4ETA,W4H,W4LEW,W4O,W4OMX,W4SIG,W4SV,W4TTA,W4WWQ,W4YE,W5RRR,W5TM,W6TDX,W7GF,W7KAM,W8CBG,W8HCG,W8JAY,W8KNX,W8MP,W8NUD,W8OP,W8PI,W8ROA,W8SDC,W8TAM,W8TEC,W8UCO,W8ULT,W8WIL,W8ZFM,W9AHW,W9ARO,W9DC,W9P,W9QL,W9TCV,WA0KNP,WA0LIF,WA0MHJ,WA1FMM,WA1GJF,WA2CHV,WA2CP,WA2DNI,WA2GOT,WA2JQK,WA2LMC,WA2NYY,WA2QAU,WA2S,WA3AFS,WA3GAT,WA3INC,WA3TVH,WA3VDJ,WA4CMP,WA5DTK,WA5SOG,WA8KAN,WA8OJR,WA8ZBT,WA9LEY,WA9VYT,WA9YI,WB0CJB,WB0PTD,WB2AMN,WB2EQR,WB2JLR,WB2KAO,WB2KLD,WB2OFM,WB2SIH,WB2YHK,WB3HPE,WB7BNE,WB8SCT,WB9HFK,WB9NDG,WD0BRP,WD3E,WD5EEI,WE0Q,WE5BC,WG3J,WJ1B,WM2L,WO4O,WP3Y,WQ7O,WT0RJ,WT2Q,WT3C,WV3H,WV3V,WW2Y,WW7CR,WX7Z,WX8C,WZ4K,WZ4T"
CAY,203,"AA2AD,AA2ZW,AA4TI,AB2FN,AB3CX,AC2FA,AC2RL,AC2VE,AC2XC,AD2MM,AD2TM,AD4EB/M,AH2O,K0AD,K0PC,K0RC,K0SID,K1BZ,K1KX,K1RO,K2AL,K2DBJ,K2EP,K2ICQ,K2KT,K2MN,K2MV,K2NS,K2NV,K2SSS,K2XA,K2YG,K3QP,K3TN,K4AMC,K4KYN,K4NMR,K4RC,K4RUM,K5CM,K5QQ,K5TIA,K7REL,K8CW,K8JSM,K8MR,K9CW,K9JK,K9NW,K9OM,K9PW,KA0PQW,KA2FIR,KB0NES,KB3NSK,KB9LGS,KC1UKO,KC2KWA,KC2MBV,KD2DLL,KD2EAT,KD2EFR,KD2KEH,KD2KT,KD2YMM,KD8DEU,KE2X,KE8PX,KG9X,KK4TE,KM2L,KM2O,KN6VTC,KO8SCA,KQ3F,KR2AA,KR2H,KR3DX,KR4AE,KW4GF,KW9A,KX2NY,KY7M,KZ3P,N0AX,N0HJZ,N0HUZ,N0LY,N1JP,N1NQD,N2GA,N2JJ,N2MF,N2PA,N2PP,N2RC,N2Y,N2YBB,N2ZX,N3GJ,N3IW,N3JT,N3KI,N3KN,N3KTA,N4CW,N5AU,N5KW,N5TJ,N6CHU/7,N6DE,N6MU,N6TR,N8II,N9MS,N9NM,NA3AFS,NE4S,NE8P,NE9H,NG2W,NJ3K,NM2A,NN2L,NN7A,NQ2U,NR7T,OM2VL,VE3AQ,VE3DQN,VE3HZ,VE3IFT,VE3OMV,VE3SIF,VE3TM,VE3YT,W0BH,W0ZQ,W1AJT,W1QK,W1SSN,W2AAA,W2CCC,W2DQ,W2DXE,W2EB,W2FU,W2GDJ,W2IG,W2JCT,W2M,W2NTV,W2NYW,W2OW,W2PJ,W2REA,W2RQ,W2TB,W2TZ,W3TB,W3TKB,W3US,W3ZG,W4LEW,W4SIG,W4YE,W7GF,W7LG,W8HCG,W8NUD,W8PI,W9QL,W9RE,W9RNY,WA0LIF,WA2CP,WA2DNI,WA2GOT,WA2JLW,WA2JQK,WA2NYY,WA2QAU,WA3INC,WA5SOG,WA8OJR,WA8ZBT,WA9LEY,WB0CJB,WB2AMN,WB2FVE,WB2JLR,WB2KLD,WB2NVR,WB2PJH,WB2SIH,WB2WPM,WB9HFK,WD8RYC,WK2H,WO4O,WW2J,WW2Y,WX8C"
CGO,253,"AA2IL,AA3LX,AA3R,AB2FN,AB2IW,AB3CX,AC2RL,AC2VE,AC2XC,AD2MM,AD2TM,AF5CC,AH2O,AI2T,AI6O,AJ4LN,K0MPH,K0SID,K1BZ,K1ZHG,K2AJK,K2AL,K2CJS,K2CR,K2DBK,K2EP,K2FEO,K2G,K2ICQ,K2IRK,K2MV,K2OEQ,K2PTC,K2QY,K2SG,K2SSS,K2TGW,K2WPM,K2XA,K2YG,K2ZVL,K3GHH/2,K3IE,K3QP,K3RJS,K4BAI,K4HSI,K4RUM,K5ME,K5QQ,K8MR,K9CW,K9PW,KA2ENE,KA2FIR,KA2KGP,KA8TOA,KB1RVU,KB1YO,KB2FAK,KB2TDT,KB2URI,KC1PDW,KC1QEM,KC1VMI,KC2BBI,KC2DPF,KC2KDD,KC2LEB,KC2MBV,KC2PUY,KC2SRZ,KC2WLR,KC2YME,KC3CPT,KC3OQ,KC3ZWP,KD2CTZ,KD2CZY,KD2DLL,KD2EAT,KD2EFR,KD2FKV,KD2KEH,KD2PBK,KD2PLR,KD2SER,KD2UDL,KE1IH,KE2CAV,KE2CNS,KE2CWJ,KE2EGF,KE2ELI,KE2ELL,KE2X,KE3SB,KE4EA,KF2VX,KF3EB,KG9X,KJ2LBR,KK4R,KK4TE,KM2L,KM2O,KM4IAJ,KN2M,KO8SCA,KQ2R,KR2H,KR3DX,KR4AE,KS2G,KT1S,KT8BSA,KV2NY,KX2NY,KY7M,N0SM,N0UR,N1ADX,N1CEO,N1GBE,N1IBM,N1JP,N1JUX,N1NQD,N1WRK,N2BOC,N2CBH,N2CE,N2NKX,N2NRV,N2OA,N2PA,N2PEQ,N2PP,N2PQJ,N2PTF,N2SLO,N2SQW,N2TO,N2XE,N2Y,N2YBB,N3FTO,N3GJ,N3GTH,N3KTA,N3LVG,N3QXC,N3RF,N3WT,N4CW,N6MU,N7IR,N8II,N8QE,ND1X,ND2B,NE4S,NJ1F,NM2A,NN2L,NQ2U,NX1K,NX2O,NX9B,NY2A,VA3FN,VA3HYM,VA3KRJ,VE1RGO,VE2IAA,VE2VAB,VE3HZ,VE3IFT,VE3JZT,VE3MV,VE3WG,VE3YT,W1AO,W1FM,W1JWC,W1SSN,W1WV,W1WV/M,W2AAA,W2AN,W2CCC,W2DQ,W2E,W2FMB,W2FU,W2GDJ,W2GT,W2HMT,W2IOC,W2JCT,W2LGB,W2M,W2MRD,W2NTV,W2NY,W2NYW,W2OW,W2OZ,W2PJ,W2REA,W2RLK,W2RQ,W2TB,W2TZ,W3JAW,W3TKB,W4LEW,W4SIG,W4WWQ,W8HCG,W8HOT,W8NUD,W8PI,W9QL,WA0MHJ,WA1GJF,WA2CHV,WA2CP,WA2DNI,WA2GOT,WA2JQK,WA2LAN,WA2QAU,WA3AFS,WA3DHM,WA3ZTR,WA8AHZ,WA8SAN,WA8ZBT,WB2AMN,WB2BEW,WB2FIE,WB2JLR,WB2KLD,WB2OFM,WB2SIH,WB4HRL,WB8ZRY,WB9HFK,WM2L,WW2Y,WX8C,WY1H"
CHA,167,"AA0AW,AA0FO,AA0O,AA3OO,AA3R,AB2FN,AB2IW,AB3CX,AC2RL,AC2XC,AD2MM,AD2TM,AH2O,AJ4LN,HA9RE,K0MPH,K0PC,K0TRL,K2EP,K2IRK,K2MN,K2MV,K2OEQ,K2OS,K2SSS,K2XA,K2YG,K3QP,K3RJS,K4BAI,K4DR,K4EAK,K4FT,K4FTO,K5CM,K5GE,K5QQ,K8CIA,K8MR,K8TDF,K8TW,K9CW,K9JK,K9PW,KA0PQW,KB2FAK,KB4CG,KB9S,KC2BBI,KC2KDD,KC2MBV,KC2YME,KD2CTZ,KD2DLL,KD2EAT,KD4ARJ,KE0TT,KE2CSB,KE2X,KF3DJ,KM2O,KM4IAJ,KN6VTC,KQ3F,KQ4TSB,KR2AA,KR2H,KR3DX,KR4AE,KX2NY,N0HJZ,N1IBM,N1NQD,N2BOC,N2CBH,N2JJ,N2NC,N2NRV,N2OA,N2PA,N2PQJ,N3AM,N3FTO,N3GJ,N3KI,N3PAT,N3QXC,N4BDW,N4CD,N4CW,N5KW,N5MLP,N6DE,N6EF,N6MU,N8II,N9EAT,NE8P,NI8W,NN2L,NS4TT,NX9B,NY2A,OM2VL,VE1RGO,VE2IAA,VE3AQ,VE3DQN,VE3HZ,VE3IFT,VE3NFN,VE3OMV,VE3TM,VE3YT,VE5UO,VE9RLW,W0DET,W0UY,W0ZQ,W1SSN,W1WV,W2AAA,W2EHH,W2FU,W2GDJ,W2IG,W2NTV,W2NYW,W2PJ,W2QCY,W2RQ,W2TB,W2VM,W3TKB,W3US,W4CB,W4TTA,W4WWQ,W4YE,W5KBW,W5TM,W7GF,W8HCG,W8NUD,W9ARO,W9DC,W9DSE,W9QL,WA0LIF,WA0MHJ,WA2CP,WA2DNI,WA2GOT,WA2QAU,WA3INC,WA5SOG,WA8KAN,WA8OJR,WA8ZBT,WA9YI,WB2AIV,WB2JLR,WB2KLD,WB9HFK,WG3J,WM2L,WO4O"
CHE,121,"AA0FO,AA3R,AA4TI,AB2FN,AB3CX,AC2FA,AC2XC,AH2O,K0MPH,K1AR,K1BZ,K1VUT,K2OS,K2SSS,K2YG,K3IE,K3QP,K3TN,K3WWP,K3YP,K4FT,K4GM,K5ZD,K7REL,K8MR,K8QKY,K9CW,K9NW,K9PW,K9TMW,KA0PQW,KB4CG,KC3M,KC5AAV,KC5LL,KD2DLL,KD2EFR,KE2EVX,KE2X,KJ2LBR,KK4TE,KM2O,KM4FO,KO8SCA,KQ3F,KR2AA,KR4AE,KW9A,KX2NY,KY7M,N0AT,N0HJZ,N0LY,N1IBM,N2BOC,N2NC,N2PA,N2PP,N2SQW,N2TO,N2ZX,N3AM,N3GJ,N3KI,N3KTA,N3XF,N4CW,N4XD,N5RZ,N6MU,N8II,NE8P,NM2A,NQ2U,NQ2W,NR0P,OM2VL,VE3AQ,VE3IFT,VE3SSF,VE3TM,VE3YT,W0ELT,W0ZQ,W1AO,W1SEM,W1SSN,W1TO,W2CCC,W2FU,W2NO,W2NTV,W2NYW,W2OW,W2RQ,W2TB,W2TZ,W2VM,W3FIZ,W3TB,W4CB,W4LEW,W4SIG,W4ZGR,W5TM,W7LG,W8HCG,W8PI,W8TZA,W9DC,WA0MHJ,WA2CP,WA2GOT,WA3INC,WA5SOG,WA8ZBT,WB2PJH,WD8RYC,WN4AFP,WW2Y,WX8C"
CLI,90,"AA2WN,AA4TI,AC2RL,DL1D,DL5ARM,EA3BV,EA3NO,EC3AIT,F8PDR,G3SWH,IK2ULV,K0AD,K0RC,K0TC,K0TRL,K2MN,K2OS,K3RJS,K3YP,K4AMC,K4KYN,K4YFH,K5CM,K5QQ,K5TIA,K7REL,K8CW,K8II,K9CW,K9PW,KA2SJG,KB9YVT,KC2SRZ,KD2EPW,KD2KW,KE2SD,KG8AI,KG9X,KN6VTC,KQ4FNO,KQ4YYN,KV2X/M,KX2NY,LY5A,LZ1JP,N0HJZ,N0LY,N0OK,N1GBE,N2GA,N2MF,N2PP,N2PQJ,N2SO,N2T,N2ZX,N4CW,N4ZQA,N5AU,N5KW,N6DE,N8CEP,N9NM,NE4S,NE8P,NF0N,NN2L,NQ2W,NW0M,NX9B,OH7MA,OM2VL,W0BM,W0ZQ,W1AJT,W1FM,W2RQ,W3US,W4SIG,W7KAM,W8OP,W8SP,W9DC,WA2JQK,WA5SOG,WB0CJB,WB9HFK,WO4O,WT2X,WW4DUB"
CO,67,"AA2ZW,AB3CX,K08SCA,K2A,K2EAG,K2NV,K2Q/M,K2QB,K2SSS,K2V,K2XA,K2ZR,K4RU,K4RUM,KC2KY,KD2EFR,KE2SD,KM2L,KN2M,KO8SCA,KR2AA,KS2G,KX2NY,N2CU,N2CU/M,N2GA,N2GET,N2MF,N2NC,N2PA,N2PP,N2RC,N2REA,N2T,N2T/TOM,N2Y,N2ZX,N3KTA,NM2A,NN2L,NQ2W,W2BMT,W2CCC,W2DC,W2FU,W2LC,W2M,W2OW,W2PJ,W2QL,W2SB,W2TB,W2TZ,W2TZ/STE,W4TAA,WA2CP,WA2DNI,WA2QAU,WA2ZW,WB2AMN,WB2JLR,WB2KAO,WB2UN,WB2WPM,WM2A,WT2X,WW2P"
COL,294,"AA0FO,AA2ZW,AA3R,AA8OY,AB2FN,AB2IW,AB3CX,AC2FA,AC2XC,AC8FJ,AC9HP,AD2MM,AD2TM,AD4GG,AG5PC,AH2A,AH2O,AJ4LN,AK2G,DL0XM,IK4LZH,IV3GOW,K0LTL,K0SID,K0TRL,K0UO,K1BZ,K1TDM,K2D,K2DBK,K2EP,K2ICQ,K2IRK,K2KT,K2MV,K2NM,K2NV,K2OEQ,K2QB,K2QY,K2RSK,K2SSS,K2WPM,K2XA,K2YG,K3QP,K3SEM,K3TN,K3TW,K4ADR,K4KGT,K4KYN,K4OGO,K4RLD,K4RUM,K4WC,K5CM,K5KG,K5QQ,K6PBT,K6RM,K7REL,K7TCH,K8MR,K8WSR,K9CW,K9PW,KA2ENE,KA2FIR,KA3JKS,KA3VXM,KA4KBX,KA7TXS,KA8TOA,KB0VK,KC1QEM,KC1QXL,KC1UKO,KC2BBI,KC2KDD,KC2MBV,KC2PQI,KC3CPT,KC3ZFR,KC4YRV,KC6SEH,KC8ZKS,KD0YMC,KD2DLL,KD2EFR,KD2FKV,KD2KEH,KD2YMM,KD3ALL,KD4S,KD5EWK/AG,KD9KAD,KD9VUK,KE2CNS,KE2DEB,KE2EGF,KE2ELI,KE2FDA,KE2FGN,KE5OFJ,KE8PX,KF0KKX,KF0TPL,KG4OJT,KG8AI,KI5ZIH,KJ5LNI,KK4CAO,KK4TE,KK5NM,KM4UNY,KN0V,KN4ZO,KN6VTC,KO4O,KO4TXN,KQ2R,KQ4FNO,KQ4LTT,KQ4R,KQ4VET,KQ4VIF,KR2AA,KR2H,KR4FQG,KS2G,KT8CAT,KW4LU,KW9A,KX2NY,N0HJZ,N0LY,N0OK,N0OZZ,N1GBR,N1IBM,N1JUX,N1NQD,N1RKB,N1TL,N1UL,N2BOC,N2CBH,N2IVW,N2MF,N2NC,N2NRV,N2OA,N2PA,N2PEQ,N2PP,N2PTF,N2PYH,N2SQW,N2Y,N2ZX,N3FMC,N3GJ,N3GTH,N3ILS,N3IW,N3JT,N3KI,N3KTA,N3NIK,N3QXC,N3RF,N3WT,N4BJH,N4DJ,N4EMM,N4GK,N4I,N5BK,N5KW,N5MLP,N5TJ,N6DE,N7NBS,N8DNA,N8DXZ,N8HAM,N8II,N8JAA,N8MBH,N8MD,N9BF,N9KRZ,N9SOR,ND2B,NE0NS,NE8P,NG4D,NJ3K,NN2L,NQ2U,NQ2W,NV1Y,NX9B,NY2A,OM2VL,V3IDL,VA3ET,VB3JOTA,VE1RGO,VE1ZZ,VE3AQ,VE3HZ,VE3IFT,VE3OMV,VE3THR,VE3WG,VE3WS,VE3YT,VE7ZO,W0BH,W0ELT,W0ZQ,W1AJT,W1FWS,W1JWC,W1SSN,W1SSR,W1WV,W2CCC,W2DXE,W2E,W2FU,W2GD,W2GDJ,W2HMT,W2IG,W2JCT,W2LGB,W2M,W2NTV,W2NY,W2NYW,W2OZ,W2R,W2REA,W2TZ,W3BAR,W3HZU,W3SD,W3TKB,W3TWB,W4LEW,W4SIG,W4TTA,W5TM,W7KAM,W7ZR,W8HCG,W8MCV,W8NUD,W8PI,W9DC,W9MDM,W9QL,W9RE,W9SN,W9USO,WA2DNI,WA2GOT,WA2JLW,WA2JQK,WA2LMC,WA2QAU,WA3AFS,WA4PTZ,WA8ZBT,WA9YI,WB2AMN,WB2FUE,WB2JLR,WB2KLD,WB2SHZ,WB2SIH,WB8ZFL,WB9HFK,WF0B,WK2H,WN0T,WO4O,WQ7A,WV4F,WW2J,WW2Y"
COR,157,"AA2IL,AA3R,AA8JL,AB2FN,AB4KN,AC1W,AC2RL,AC2XC,AC7GG,AD2MM,AD2TM,AE0Z,AH2O,AJ4LN,DA1DX,DA2X,DG1PR,DJ5KW,DJ6VX,DK0EG,DK5DQ,DL0AH,DL4DXF,DQ2A,DR0W,DR1D,K0AD,K0MPH,K0OE,K0SID,K1KX,K2AL,K2KT,K2NV,K2OEQ,K2QB,K2SSS,K2WK,K2XA,K3GHH/2,K3TW,K3WJV,K4GM,K4PDZ,K4RUM,K6HTD,K7QA,K7REL,K8OOK,K9NW,K9PW,KA0TOM,KA2ENE,KA3EEO,KB1RVU,KB4KFT,KB4LS,KC0INP,KC1UBT,KC2MBV,KD2DLL,KD2EFR,KD4EYF,KE2EVX,KE2SD,KE2X,KE8VC,KF8AEW,KG9JP,KJ2LBR,KK4TE,KM2O,KM4JEG,KN2M,KN5Z,KO4FHS,KO8SCA,KQ4UUR,KR2AA,KS2G,KW9A,KX2NY,KY7M,KZ4JW,N0AX,N1IBM,N2BOC,N2OA,N2PA,N2PP,N2PQJ,N2RC,N2SQW,N2Y,N3GTH,N3IW,N4CW,N4DBR,N4IJ,N5TJ,N6DE,N7EPD,N8DNA,N8DPF,N8II,N8RC,N9EXL,NM2A,NN7A,NQ2U,NV4H,OM2VL,VE3DQN,VE3JSO,VE3LBI,VE3LJW,VE5REV,VE7ZO,W0PI,W0ZC,W1AO,W2CCC,W2DXE,W2GDJ,W2M,W2NO,W2NTV,W2NYW,W2OW,W2PJ,W2REA,W2RQ,W2TB,W3MA,W3TKB,W4H,W4S,W7T,W8HCG,W8ULT,W9DC,W9P,WA2CHV,WA2CP,WA2DE,WA2DNI,WA2GOT,WA2QAU,WA3AFS,WA5SOG,WA9LEY,WB2AMN,WB2JLR,WB9HFK,WM2L,WO4O,WW2Y"
CT,113,"AA2ZW,AB2FN,AB3CX,AB3CX/OTS,AC2XC,AD2MM,AD2TM,AH2O,AH2Q,AI2T,K2A,K2AL,K2CRV,K2DJF,K2EAG,K2G,K2NV,K2OEQ,K2Q,K2QB,K2SSS,K2V,K2XA,K2ZR,K3GHH/2,K4RUM,KA2ENE,KB2SIH,KC2BBI,KC2KY,KC2MBV,KD2CTZ,KD2EFR,KE2AIZ,KE2CWJ,KE2EGF,KE2ELI,KE2SD,KM2L,KO8SCA,KR2AA,KV2X,KV2X/M,KX2NY,N1JP,N2BOC,N2CU,N2CU/ALL/LIV,N2CU/LIV,N2CU/M,N2DVQ,N2GA,N2IZX,N2JJ,N2MF,N2NRV,N2PA,N2PEQ,N2PP,N2PQJ,N2PTF,N2RC,N2RD,N2RI,N2T,N2TO,N2WK,N2Y,N2ZX,NC2M,NK2C,NM2A,NN2L,NQ2U,NQ2W,W2CCC,W2DQ,W2DXE,W2E,W2ELS,W2FU,W2GDJ,W2GR,W2JCT,W2LC,W2M,W2NY,W2NYW,W2OW,W2PJ,W2R,W2REA,W2TB,W2TZ,W9TCV,WA2CHV,WA2CP,WA2DE,WA2DNI,WA2GOT,WA2JQK,WA2NYY,WA2QAU,WA2QUA,WA3AFS,WB2AMN,WB2KAO,WB2SIH,WB2WPM,WS9M,WW2P,WW2Y,WY1H"
DE,61,"AA2ZW,AB3CX,AB3CX/OTS,AI2T,K2A,K2AL,K2EAG,K2G,K2NV,K2Q,K2Q/M,K2QB,K2SSS,K2V,K2XA,K2ZR,K3GHH,K3GHH/2,K4RUM,KC2KY,KD2AA,KE2AIZ,KE2SD,KM2L,KO8SCA,KR2AA,KV2X/M,KX2NY,N2B,N2CU,N2CU/M,N2GA,N2MF,N2PA,N2PP,N2QW,N2RC,N2T,N2Y,N2ZX,NM2A,NN2L,NQ2W,W2DXE,W2FU,W2GR,W2LC,W2M,W2OW,W2QL,W2SB,W2TB,W2TZ,WA2CP,WA2NYY,WA2QAU,WB2AMN,WB2KAO,WB2SIH,WW2P,WW2Y"
