timestamp,county,callsign
2025-10-18 1404,ONO,W1FM
2025-10-18 1404,MON,VE3OMV
2025-10-18 1404,ONO,W0CN
2025-10-18 1404,NIA,VE3TM
2025-10-18 1404,SCU,VE3YT
2025-10-18 1404,MON,VE3NFN
2025-10-18 1404,SCU,OM2VL
2025-10-18 1404,YAT,OM2VL
2025-10-18 1404,ORA,NV4T
2025-10-18 1404,ROC,NV4T
2025-10-18 1404,SUF,NQ2W
2025-10-18 1404,ONO,NM2A
2025-10-18 1404,ORA,NM2A
2025-10-18 1404,MON,NE8P
2025-10-18 1404,STE,N8II
2025-10-18 1404,ERI,N8II
2025-10-18 1404,ONO,N7LRG
2025-10-18 1404,SEN,N3RF
2025-10-18 1404,WES,N2Y
2025-10-18 1404,WES,N2Y
2025-10-18 1404,WAR,N2PYH
2025-10-18 1404,DUT,N2PYH
2025-10-18 1404,OSW,N2MF
2025-10-18 1404,SCU,N2NC
2025-10-18 1404,OSW,N2RC
2025-10-18 1404,CHA,N0HJZ
2025-10-18 1404,CAT,N0HJZ
2025-10-18 1404,STE,N0LY
2025-10-18 1404,SCU,KX2NY
2025-10-18 1404,ERI,KR2AA
2025-10-18 1404,NIA,KR2AA
2025-10-18 1404,SCU,KR4AE
2025-10-18 1404,YAT,KS2G
2025-10-18 1404,ULS,KI6OY
2025-10-18 1404,STE,KE2AIZ
2025-10-18 1404,ONO,KC2KDD
2025-10-18 1404,ULS,KA8HDE
2025-10-18 1404,MON,K9PW
2025-10-18 1404,ONO,K9PW
2025-10-18 1404,CHA,K9CW
2025-10-18 1404,CAT,K9CW
2025-10-18 1404,STE,K5QQ
2025-10-18 1404,ERI,K8MR
2025-10-18 1404,ERI,K8MR
2025-10-18 1404,WAR,K4RUM
2025-10-18 1404,SCU,K4BAI
2025-10-18 1404,ULS,K4BAI
2025-10-18 1404,ONO,K4QQG
2025-10-18 1404,SAR,K4FTO
2025-10-18 1404,ALB,K2ZR
2025-10-18 1404,RIC,K2ZR
2025-10-18 1404,DUT,K3RJS
2025-10-18 1404,NIA,K2XA
2025-10-18 1404,FRA,K3GHH/2
2025-10-18 1404,FRA,K2QB
2025-10-18 1404,ULS,K2EAG
2025-10-18 1404,ORA,K0TRL
2025-10-18 1404,RIC,AA2ZW
2025-10-18 1404,SUF,AA3R
2025-10-18 1404,CAT,AJ4LN
2025-10-18 1404,COL,W2E
2025-10-18 1404,COL,W2E/WB2ELW
2025-10-18 1405,OSW,WW2Y
2025-10-18 1405,NIA,WB9HFK
2025-10-18 1405,STL,WB2JLR
2025-10-18 1405,ONT,WB2AMN
2025-10-18 1405,NAS,WA9YI
2025-10-18 1405,SEN,WA2GOT
2025-10-18 1405,SCU,W9DC
2025-10-18 1405,YAT,W9DC
2025-10-18 1405,CHA,WA0MHJ
2025-10-18 1405,CAT,WA0MHJ
2025-10-18 1405,ROC,W8HCG
2025-10-18 1405,ORA,W8HCG
2025-10-18 1405,NAS,W4TTA
2025-10-18 1405,MTG,W2TZ
2025-10-18 1405,SCH,W2TZ
2025-10-18 1405,ERI,W2VM
2025-10-18 1405,NIA,W2KYM
2025-10-18 1405,COL,W2JCT
2025-10-18 1405,ORA,W0ZQ
2025-10-18 1405,STL,VE3TM
2025-10-18 1405,SCU,VE3YT
2025-10-18 1405,TIO,VE3WG
2025-10-18 1405,NIA,VE3AQ
2025-10-18 1405,ESS,VE3AQ
2025-10-18 1405,ORA,VE1RGO
2025-10-18 1405,ROC,VE1RGO
2025-10-18 1405,CAT,VA3PNL
2025-10-18 1405,ULS,OM2VL
2025-10-18 1405,SCU,OM2VL
2025-10-18 1405,MON,VE3DQN
2025-10-18 1405,LIV,NQ2W
2025-10-18 1405,RIC,NQ2W
2025-10-18 1405,MON,NN2L
2025-10-18 1405,ONO,N9MS
2025-10-18 1405,SAR,NM2A
2025-10-18 1405,FRA,NM2A
2025-10-18 1405,ONO,N8II
2025-10-18 1405,NIA,N8II
2025-10-18 1405,STE,N6MU
2025-10-18 1405,ONO,N5KW
2025-10-18 1405,WAR,N3AM
2025-10-18 1405,ONO,N2PA
2025-10-18 1405,OSW,N2ZX
2025-10-18 1405,ULS,N2CU
2025-10-18 1405,ULS,N2CU
2025-10-18 1405,TIO,N1NQD
2025-10-18 1405,NAS,N1ADX
2025-10-18 1405,ERI,N0LY
2025-10-18 1405,WAR,KR2AA
2025-10-18 1405,STE,KO8SCA
2025-10-18 1405,NIA,KQ3F
2025-10-18 1405,ORL,KQ3F
2025-10-18 1405,SEN,KE2ELL
2025-10-18 1405,ORA,KA8HDE
2025-10-18 1405,ORA,K9PW
2025-10-18 1405,FRA,K9CW
2025-10-18 1405,ALB,K8MR
2025-10-18 1405,ORA,K8MR
2025-10-18 1405,ONO,K5CM
2025-10-18 1405,ERI,K4RUM
2025-10-18 1405,YAT,K4BAI
2025-10-18 1405,STE,K4FTO
2025-10-18 1405,NIA,K2QB
2025-10-18 1405,ROC,K3QP
2025-10-18 1405,SCU,K0TRL
2025-10-18 1405,ONO,K0UU
2025-10-18 1405,CAT,K1BZ
2025-10-18 1405,SUF,AA2ZW
2025-10-18 1405,NIA,AA2ZW
2025-10-18 1405,WAR,AA3R
2025-10-18 1405,ERI,AJ4LN
2025-10-18 1406,WAR,WB2PJH
2025-10-18 1406,MON,WB2AMN
2025-10-18 1406,GRE,WA9YI
2025-10-18 1406,TIO,WA2JQK
2025-10-18 1406,NIA,W9QL
2025-10-18 1406,MON,WA0MHJ
2025-10-18 1406,NAS,W8HCG
2025-10-18 1406,ALB,W2TB
2025-10-18 1406,SUF,W2TB
2025-10-18 1406,ULS,W2TB
2025-10-18 1406,MON,W5TM
2025-10-18 1406,ALB,W2VM
2025-10-18 1406,ERI,W2QCY
2025-10-18 1406,ONO,W2KYM
2025-10-18 1406,ONO,W2PJ
2025-10-18 1406,ERI,W2HMT
2025-10-18 1406,ERI,W2GDJ
2025-10-18 1406,YAT,W2JCT
2025-10-18 1406,WAR,W2JCT
2025-10-18 1406,WAR,VE3OMV
2025-10-18 1406,NIA,VE3OMV
2025-10-18 1406,CHA,W0ZQ
2025-10-18 1406,CAT,W0ZQ
2025-10-18 1406,ONO,W0ELT
2025-10-18 1406,MON,VE3TM
2025-10-18 1406,OTS,VE3AQ
2025-10-18 1406,NIA,VE3DQN
2025-10-18 1406,ORL,VE3DQN
2025-10-18 1406,CAT,NQ2U
2025-10-18 1406,NAS,NQ2U
2025-10-18 1406,ORA,N9MS
2025-10-18 1406,ESS,NM2A
2025-10-18 1406,ONO,NE8P
2025-10-18 1406,ORA,NE8P
2025-10-18 1406,ESS,N8II
2025-10-18 1406,OTS,N8II
2025-10-18 1406,SCU,N6MU
2025-10-18 1406,SAR,N5KW
2025-10-18 1406,SCO,N3KTA
2025-10-18 1406,REN,N3KTA
2025-10-18 1406,NIA,N2PP
2025-10-18 1406,NIA,N3AM
2025-10-18 1406,ORL,N3AM
2025-10-18 1406,NAS,N2PTF
2025-10-18 1406,STE,N2JJ
2025-10-18 1406,STE,N2JJ
2025-10-18 1406,ONO,N1GBE
